state,year,month,district,type,count,amount,source_path
Andaman & Nicobar Islands,2020,2,south andaman district,TOTAL,48088,132855778.74838585,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2020\2.json
Andaman & Nicobar Islands,2020,2,nicobars district,TOTAL,3895,14341508.60470232,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2020\2.json
Andaman & Nicobar Islands,2020,3,north and middle andaman district,TOTAL,16747,33486883.370425556,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2020\3.json
Andaman & Nicobar Islands,2020,3,south andaman district,TOTAL,95323,282366109.20523936,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2020\3.json
Andaman & Nicobar Islands,2020,3,nicobars district,TOTAL,5413,22166453.754695386,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2020\3.json
Andaman & Nicobar Islands,2020,4,north and middle andaman district,TOTAL,29349,68941322.38839513,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2020\4.json
Andaman & Nicobar Islands,2020,4,south andaman district,TOTAL,186494,523122462.88302904,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2020\4.json
Andaman & Nicobar Islands,2020,4,nicobars district,TOTAL,8688,35218871.04342849,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2020\4.json
Andaman & Nicobar Islands,2021,1,north and middle andaman district,TOTAL,27358,75027255.27919498,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2021\1.json
Andaman & Nicobar Islands,2021,1,south andaman district,TOTAL,207092,669604045.1248703,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2021\1.json
Andaman & Nicobar Islands,2021,1,nicobars district,TOTAL,10302,39075266.9856904,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2021\1.json
Andaman & Nicobar Islands,2021,2,north and middle andaman district,TOTAL,39200,90233388.79463302,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2021\2.json
Andaman & Nicobar Islands,2021,2,south andaman district,TOTAL,286907,760893020.5704944,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2021\2.json
Andaman & Nicobar Islands,2021,2,nicobars district,TOTAL,15307,48020606.74716837,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2021\2.json
Andaman & Nicobar Islands,2021,3,north and middle andaman district,TOTAL,46592,118254865.82750683,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2021\3.json
Andaman & Nicobar Islands,2021,3,south andaman district,TOTAL,382418,1116789010.6459613,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2021\3.json
Andaman & Nicobar Islands,2021,3,nicobars district,TOTAL,20754,74980519.3281361,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2021\3.json
Andaman & Nicobar Islands,2021,4,north and middle andaman district,TOTAL,53115,156486112.28732437,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2021\4.json
