state,year,month,registered_users,app_opens,source_path
Andhra Pradesh,2021,4,22489029,1447717601,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\andhra-pradesh\2021\4.json
Andhra Pradesh,2022,1,23857951,1254785973,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\andhra-pradesh\2022\1.json
Andhra Pradesh,2022,2,25157264,1378736856,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\andhra-pradesh\2022\2.json
Andhra Pradesh,2022,3,26496330,1357005703,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\andhra-pradesh\2022\3.json
Andhra Pradesh,2022,4,27778016,1673374802,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\andhra-pradesh\2022\4.json
Andhra Pradesh,2023,1,29065863,1442038420,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\andhra-pradesh\2023\1.json
Andhra Pradesh,2023,2,30240061,1427952434,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\andhra-pradesh\2023\2.json
Andhra Pradesh,2023,3,31493897,1157440497,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\andhra-pradesh\2023\3.json
Andhra Pradesh,2023,4,32658698,1310002959,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\andhra-pradesh\2023\4.json
Andhra Pradesh,2024,1,34008709,1080185103,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\andhra-pradesh\2024\1.json
Andhra Pradesh,2024,2,35303719,1061281082,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\andhra-pradesh\2024\2.json
Andhra Pradesh,2024,3,29145303,1660426436,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\andhra-pradesh\2024\3.json
Andhra Pradesh,2024,4,29984431,1866359979,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\andhra-pradesh\2024\4.json
Arunachal Pradesh,2018,1,21495,0,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\arunachal-pradesh\2018\1.json
Arunachal Pradesh,2018,2,32883,0,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\arunachal-pradesh\2018\2.json
Arunachal Pradesh,2018,3,45922,0,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\arunachal-pradesh\2018\3.json
Arunachal Pradesh,2018,4,61852,0,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\arunachal-pradesh\2018\4.json
Arunachal Pradesh,2019,1,76957,0,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\arunachal-pradesh\2019\1.json
Arunachal Pradesh,2019,2,95885,502873,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\arunachal-pradesh\2019\2.json
Arunachal Pradesh,2019,3,112149,1811700,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\arunachal-pradesh\2019\3.json
Arunachal Pradesh,2019,4,129321,2140340,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\arunachal-pradesh\2019\4.json
Arunachal Pradesh,2020,1,149066,2598321,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\arunachal-pradesh\2020\1.json
Arunachal Pradesh,2020,2,177534,3387006,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\arunachal-pradesh\2020\2.json
Arunachal Pradesh,2020,3,206046,4003421,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\arunachal-pradesh\2020\3.json
Arunachal Pradesh,2020,4,231292,4472667,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\arunachal-pradesh\2020\4.json
Arunachal Pradesh,2021,1,251240,4796708,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\arunachal-pradesh\2021\1.json
Arunachal Pradesh,2021,2,270572,13025849,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\arunachal-pradesh\2021\2.json
Arunachal Pradesh,2021,3,293073,17209654,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\arunachal-pradesh\2021\3.json
Arunachal Pradesh,2021,4,314944,11230295,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\arunachal-pradesh\2021\4.json
Arunachal Pradesh,2022,1,335339,41418559,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\arunachal-pradesh\2022\1.json
Arunachal Pradesh,2022,2,354528,49889518,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\arunachal-pradesh\2022\2.json
Arunachal Pradesh,2022,3,373372,59722628,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\arunachal-pradesh\2022\3.json
Arunachal Pradesh,2022,4,390307,21775038,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\arunachal-pradesh\2022\4.json
Arunachal Pradesh,2023,1,408273,88997458,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\arunachal-pradesh\2023\1.json
Arunachal Pradesh,2023,2,426410,106089520,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\arunachal-pradesh\2023\2.json
Arunachal Pradesh,2023,3,444789,112236680,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\arunachal-pradesh\2023\3.json
Arunachal Pradesh,2023,4,462088,38873546,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\arunachal-pradesh\2023\4.json
Arunachal Pradesh,2024,1,482393,143597043,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\arunachal-pradesh\2024\1.json
Arunachal Pradesh,2024,2,500669,132013837,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\arunachal-pradesh\2024\2.json
Arunachal Pradesh,2024,3,687168,210856966,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\arunachal-pradesh\2024\3.json
Arunachal Pradesh,2024,4,710879,46627582,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\arunachal-pradesh\2024\4.json
Assam,2018,1,385237,0,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\assam\2018\1.json
Assam,2018,2,571046,0,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\assam\2018\2.json
Assam,2018,3,784802,0,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\assam\2018\3.json
Assam,2018,4,1039221,0,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\assam\2018\4.json
Assam,2019,1,1259085,0,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\assam\2019\1.json
Assam,2019,2,1500128,7350326,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\assam\2019\2.json
Assam,2019,3,1731523,25393673,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\assam\2019\3.json
Assam,2019,4,1941220,26599449,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\assam\2019\4.json
Assam,2020,1,2185938,33097892,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\assam\2020\1.json
Assam,2020,2,2550883,39304924,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\assam\2020\2.json
Assam,2020,3,2830011,41875278,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\assam\2020\3.json
Assam,2020,4,3106153,49321814,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\assam\2020\4.json
Assam,2021,1,3358448,56752364,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\assam\2021\1.json
Assam,2021,2,3617056,102003890,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\assam\2021\2.json
Assam,2021,3,3918480,135288631,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\assam\2021\3.json
Assam,2021,4,4209591,130600435,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\assam\2021\4.json
Assam,2022,1,4492589,281642453,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\assam\2022\1.json
Assam,2022,2,4755787,339929089,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\assam\2022\2.json
Assam,2022,3,5016910,410760707,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\assam\2022\3.json
Assam,2022,4,5247776,248781157,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\assam\2022\4.json
Assam,2023,1,5499650,590176321,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\assam\2023\1.json
Assam,2023,2,5749682,657069673,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\assam\2023\2.json
